[WARN] 2018-06-13 14:25:34,810 dao.DAOProduktBatchKomp updateProduktBatchKomp - No rows updated in "Produkt batch komponent".
[DEBUG] 2018-06-13 14:59:13,665 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection released: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,680 org.apache.http.impl.execchain.MainClientExec cancel - Cancelling request execution
[DEBUG] 2018-06-13 14:59:13,727 org.apache.http.client.protocol.RequestAddCookies process - CookieSpec selected: best-match
[DEBUG] 2018-06-13 14:59:13,730 org.apache.http.client.protocol.RequestAuthCache process - Auth cache not set in the context
[DEBUG] 2018-06-13 14:59:13,730 org.apache.http.impl.conn.PoolingHttpClientConnectionManager requestConnection - Connection request: [route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,730 org.apache.http.impl.conn.PoolingHttpClientConnectionManager leaseConnection - Connection leased: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 0; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,730 org.apache.http.impl.execchain.MainClientExec execute - Stale connection check
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 << "[read] I/O error: Read timed out"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.impl.execchain.MainClientExec execute - Executing request POST /13_CDIO_FINAL/rest/recept/ HTTP/1.1
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.impl.execchain.MainClientExec execute - Target auth state: UNCHALLENGED
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.impl.execchain.MainClientExec execute - Proxy auth state: UNCHALLENGED
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> POST /13_CDIO_FINAL/rest/recept/ HTTP/1.1
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> accept-encoding: gzip
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Content-Type: application/json
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> user-agent: unirest-java/1.3.11
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Content-Length: 37
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Host: 207.154.253.254:8080
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Connection: Keep-Alive
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "POST /13_CDIO_FINAL/rest/recept/ HTTP/1.1[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "accept-encoding: gzip[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "Content-Type: application/json[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "user-agent: unirest-java/1.3.11[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "Content-Length: 37[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "Host: 207.154.253.254:8080[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,731 org.apache.http.wire wire - http-outgoing-0 >> "{"receptId":9999,"receptNavn":"Test"}"
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.wire wire - http-outgoing-0 << "HTTP/1.1 201 Created[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.wire wire - http-outgoing-0 << "Server: Apache-Coyote/1.1[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.wire wire - http-outgoing-0 << "Content-Length: 0[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.wire wire - http-outgoing-0 << "Date: Wed, 13 Jun 2018 12:59:11 GMT[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.wire wire - http-outgoing-0 << "[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.headers onResponseReceived - http-outgoing-0 << HTTP/1.1 201 Created
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.headers onResponseReceived - http-outgoing-0 << Server: Apache-Coyote/1.1
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.headers onResponseReceived - http-outgoing-0 << Content-Length: 0
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.headers onResponseReceived - http-outgoing-0 << Date: Wed, 13 Jun 2018 12:59:11 GMT
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.execchain.MainClientExec execute - Connection can be kept alive indefinitely
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection [id: 0][route: {}->http://207.154.253.254:8080] can be kept alive indefinitely
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection released: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.execchain.MainClientExec cancel - Cancelling request execution
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.client.protocol.RequestAddCookies process - CookieSpec selected: best-match
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.client.protocol.RequestAuthCache process - Auth cache not set in the context
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.conn.PoolingHttpClientConnectionManager requestConnection - Connection request: [route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.conn.PoolingHttpClientConnectionManager leaseConnection - Connection leased: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 0; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,809 org.apache.http.impl.execchain.MainClientExec execute - Stale connection check
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 << "[read] I/O error: Read timed out"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.impl.execchain.MainClientExec execute - Executing request POST /13_CDIO_FINAL/rest/recept/komponent HTTP/1.1
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.impl.execchain.MainClientExec execute - Target auth state: UNCHALLENGED
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.impl.execchain.MainClientExec execute - Proxy auth state: UNCHALLENGED
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> POST /13_CDIO_FINAL/rest/recept/komponent HTTP/1.1
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> accept-encoding: gzip
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Content-Type: application/json
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> user-agent: unirest-java/1.3.11
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Content-Length: 62
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Host: 207.154.253.254:8080
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Connection: Keep-Alive
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "POST /13_CDIO_FINAL/rest/recept/komponent HTTP/1.1[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "accept-encoding: gzip[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "Content-Type: application/json[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "user-agent: unirest-java/1.3.11[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "Content-Length: 62[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "Host: 207.154.253.254:8080[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,825 org.apache.http.wire wire - http-outgoing-0 >> "{"receptId":9999,"raavareId":1,"nomNetto":1.0,"tolerance":1.0}"
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.wire wire - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.wire wire - http-outgoing-0 << "Server: Apache-Coyote/1.1[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.wire wire - http-outgoing-0 << "Content-Length: 0[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.wire wire - http-outgoing-0 << "Date: Wed, 13 Jun 2018 12:59:11 GMT[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.wire wire - http-outgoing-0 << "[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.headers onResponseReceived - http-outgoing-0 << HTTP/1.1 200 OK
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.headers onResponseReceived - http-outgoing-0 << Server: Apache-Coyote/1.1
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.headers onResponseReceived - http-outgoing-0 << Content-Length: 0
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.headers onResponseReceived - http-outgoing-0 << Date: Wed, 13 Jun 2018 12:59:11 GMT
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.execchain.MainClientExec execute - Connection can be kept alive indefinitely
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection [id: 0][route: {}->http://207.154.253.254:8080] can be kept alive indefinitely
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection released: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.execchain.MainClientExec cancel - Cancelling request execution
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.client.protocol.RequestAddCookies process - CookieSpec selected: best-match
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.client.protocol.RequestAuthCache process - Auth cache not set in the context
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.conn.PoolingHttpClientConnectionManager requestConnection - Connection request: [route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.conn.PoolingHttpClientConnectionManager leaseConnection - Connection leased: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 0; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,903 org.apache.http.impl.execchain.MainClientExec execute - Stale connection check
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 << "[read] I/O error: Read timed out"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.impl.execchain.MainClientExec execute - Executing request DELETE /13_CDIO_FINAL/rest/recept/komponent/9999/1 HTTP/1.1
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.impl.execchain.MainClientExec execute - Target auth state: UNCHALLENGED
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.impl.execchain.MainClientExec execute - Proxy auth state: UNCHALLENGED
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> DELETE /13_CDIO_FINAL/rest/recept/komponent/9999/1 HTTP/1.1
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> accept-encoding: gzip
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Content-Type: application/json
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> user-agent: unirest-java/1.3.11
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Content-Length: 0
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Host: 207.154.253.254:8080
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.headers onRequestSubmitted - http-outgoing-0 >> Connection: Keep-Alive
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "DELETE /13_CDIO_FINAL/rest/recept/komponent/9999/1 HTTP/1.1[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "accept-encoding: gzip[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "Content-Type: application/json[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "user-agent: unirest-java/1.3.11[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "Content-Length: 0[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "Host: 207.154.253.254:8080[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "Connection: Keep-Alive[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,919 org.apache.http.wire wire - http-outgoing-0 >> "[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.wire wire - http-outgoing-0 << "HTTP/1.1 200 OK[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.wire wire - http-outgoing-0 << "Server: Apache-Coyote/1.1[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.wire wire - http-outgoing-0 << "Content-Length: 0[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.wire wire - http-outgoing-0 << "Date: Wed, 13 Jun 2018 12:59:11 GMT[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.wire wire - http-outgoing-0 << "[\r][\n]"
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.headers onResponseReceived - http-outgoing-0 << HTTP/1.1 200 OK
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.headers onResponseReceived - http-outgoing-0 << Server: Apache-Coyote/1.1
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.headers onResponseReceived - http-outgoing-0 << Content-Length: 0
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.headers onResponseReceived - http-outgoing-0 << Date: Wed, 13 Jun 2018 12:59:11 GMT
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.impl.execchain.MainClientExec execute - Connection can be kept alive indefinitely
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection [id: 0][route: {}->http://207.154.253.254:8080] can be kept alive indefinitely
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.impl.conn.PoolingHttpClientConnectionManager releaseConnection - Connection released: [id: 0][route: {}->http://207.154.253.254:8080][total kept alive: 1; route allocated: 1 of 20; total allocated: 1 of 200]
[DEBUG] 2018-06-13 14:59:13,981 org.apache.http.impl.execchain.MainClientExec cancel - Cancelling request execution
